,datetime,network,receiver,sender,status,txfee,txhash,unixtimestamp,value
29,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,28ae8ac63fef85a02ec257838a177687e25305c700613efab64d6db41b2b1874,1514678885,9.2396258
30,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,9df9573653448bc9bedf7e9aab382f89712d2cc0baef935d7898fef04d00dc74,1514678885,11.1240051
31,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,61cc667ad0a83cc8e902094c6391a6b914ba94cfdbeaaa02a46b6573778733f0,1514678885,1.58290418
32,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0043688,0b9af0e3452985b3a7bbcf9252cae2c875a6c4cf34fadf71c9ca42439fd74637,1514678885,1.76188404
33,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0043688,0768da0bbe47587b60a887663cf9d16d351c2434803c8b03df7e369ff27a4e80,1514678885,1.23855957
34,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00562792,2efbac00cd20782f0a9d060db2eb4ef4f834a5637dd4e5bebff7a56ff982e6bd,1514678885,1.41001055
35,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00526706,e65249ec939613a5534d7af5e35040d31d0b531d01f1f62a1aa41289d3c3b4fb,1514678885,4.00091471
36,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.01514118,e028080f9c78ffac1076b0c06becbd0fe43a4530bcceb4f68e0f3d2cd246b7c9,1514678885,0.94199669
37,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00225517,94051134ec2a76e4f2b1ac3f44601139959672b811b3d6288e9b5f246874cde2,1514678885,0.15138457
38,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00255389,9f9771f8d13f536257b8dc0e56330547fab75ce1ac58d2ce51aaebac7568be88,1514678885,0.83575712
39,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00353133,e8b964958514400133faff59ac2f4c02e67a03d9f4cbac01ae660d215bb23312,1514678885,5.55482774
40,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00494785,82b7e538629798b1da23cb679ef0bd171f55cb609b80da40bd659662c1f6cac6,1514678885,6.84666883
